family,context,variant,weight,seed,split,dataset,train_folds,validation_fold,status,profile,run_id,portable_recipe_not_historical_config,historical_config,checkpoint,prediction_dir,original_result,checkpoint_bytes,prediction_files,ER20,F20,LE_CD,LR_CD,SELD_LR
EINV2,causal,C0.1,0,2026,evaluation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,EINV2_C0_bestfix_seed2026,configs/einv2/C0.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_EINV2_C0_bestfix_seed2026_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_train/ein_seld/EINV2_C0_bestfix_seed2026/checkpoints/rabbit02_gpu3_bestfix_seed2026_epoch_82.pth,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_infer/ein_seld/Completion_20260904_EINV2_C0_bestfix_seed2026_evaluation/submissions,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_eval/ein_seld/Completion_20260904_EINV2_C0_bestfix_seed2026_evaluation/results.csv,419846080,200,0.6620504802322984,0.5571399331377499,14.497521589780344,0.7085832777901208,0.3692172639785797
EINV2,causal,C0.1,0,2026,validation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,EINV2_C0_bestfix_seed2026,configs/einv2/C0.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_EINV2_C0_bestfix_seed2026_validation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_train/ein_seld/EINV2_C0_bestfix_seed2026/checkpoints/rabbit02_gpu3_bestfix_seed2026_epoch_82.pth,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_infer/ein_seld/Completion_20260904_EINV2_C0_bestfix_seed2026_validation/submissions,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_eval/ein_seld/Completion_20260904_EINV2_C0_bestfix_seed2026_validation/results.csv,419846080,100,0.6873693639892505,0.5269601100412655,16.625237156022383,0.6906357004615156,0.3905339955327595
EINV2,causal,C0.1,0,2027,evaluation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,EINV2_C0_bestfix_seed2027,configs/einv2/C0.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_EINV2_C0_bestfix_seed2027_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_train/ein_seld/EINV2_C0_bestfix_seed2027/checkpoints/rabbit02_gpu3_bestfix_seed2027_epoch_82.pth,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_infer/ein_seld/Completion_20260904_EINV2_C0_bestfix_seed2027_evaluation/submissions,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_eval/ein_seld/Completion_20260904_EINV2_C0_bestfix_seed2027_evaluation/results.csv,419846144,200,0.6580299307572035,0.5761097223160597,12.385536199298931,0.7032967032967034,0.3618580098962475
EINV2,causal,C0.1,0,2027,validation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,EINV2_C0_bestfix_seed2027,configs/einv2/C0.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_EINV2_C0_bestfix_seed2027_validation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_train/ein_seld/EINV2_C0_bestfix_seed2027/checkpoints/rabbit02_gpu3_bestfix_seed2027_epoch_82.pth,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_infer/ein_seld/Completion_20260904_EINV2_C0_bestfix_seed2027_validation/submissions,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_eval/ein_seld/Completion_20260904_EINV2_C0_bestfix_seed2027_validation/results.csv,419846144,100,0.6401911018214392,0.5665973665973666,12.249587201716542,0.6771407297096054,0.36612656693655643
EINV2,causal,C0.1,0,2028,evaluation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,EINV2_C0_bestfix_seed2028,configs/einv2/C0.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_EINV2_C0_bestfix_seed2028_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_train/ein_seld/EINV2_C0_bestfix_seed2028/checkpoints/rabbit02_gpu3_bestfix_seed2028_epoch_45.pth,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_infer/ein_seld/Completion_20260904_EINV2_C0_bestfix_seed2028_evaluation/submissions,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_eval/ein_seld/Completion_20260904_EINV2_C0_bestfix_seed2028_evaluation/results.csv,419846080,200,0.580373762191944,0.5928912996930983,13.905229473079444,0.7146348689083099,0.33752471711024434
EINV2,causal,C0.1,0,2028,validation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,EINV2_C0_bestfix_seed2028,configs/einv2/C0.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_EINV2_C0_bestfix_seed2028_validation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_train/ein_seld/EINV2_C0_bestfix_seed2028/checkpoints/rabbit02_gpu3_bestfix_seed2028_epoch_45.pth,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_infer/ein_seld/Completion_20260904_EINV2_C0_bestfix_seed2028_validation/submissions,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_eval/ein_seld/Completion_20260904_EINV2_C0_bestfix_seed2028_validation/results.csv,419846080,100,0.61749776052553,0.5455201269658058,15.3542280252811,0.6829739776951673,0.3685762306679185
EINV2,causal,C1,0.2,2026,evaluation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,C1_CausalEINV2_Velocity_seed2026,configs/einv2/C1.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_C1_CausalEINV2_Velocity_seed2026_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C1_CausalEINV2_Velocity_seed2026/out_train/ein_seld/C1_CausalEINV2_Velocity_seed2026/checkpoints/rabbit02_gpu4_epoch_59.pth,/work/zhanghc/Myllm/SELD/EINV2/C1_CausalEINV2_Velocity_seed2026/out_infer/ein_seld/Completion_20260904_C1_CausalEINV2_Velocity_seed2026_evaluation/submissions,/work/zhanghc/Myllm/SELD/EINV2/C1_CausalEINV2_Velocity_seed2026/out_eval/ein_seld/Completion_20260904_C1_CausalEINV2_Velocity_seed2026_evaluation/results.csv,419888103,200,0.6366614548432731,0.556828934917464,15.127759932957774,0.6905803008967613,0.36832383244192557
EINV2,causal,C1,0.2,2026,validation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,C1_CausalEINV2_Velocity_seed2026,configs/einv2/C1.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_C1_CausalEINV2_Velocity_seed2026_validation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C1_CausalEINV2_Velocity_seed2026/out_train/ein_seld/C1_CausalEINV2_Velocity_seed2026/checkpoints/rabbit02_gpu4_epoch_59.pth,/work/zhanghc/Myllm/SELD/EINV2/C1_CausalEINV2_Velocity_seed2026/out_infer/ein_seld/Completion_20260904_C1_CausalEINV2_Velocity_seed2026_validation/submissions,/work/zhanghc/Myllm/SELD/EINV2/C1_CausalEINV2_Velocity_seed2026/out_eval/ein_seld/Completion_20260904_C1_CausalEINV2_Velocity_seed2026_validation/results.csv,419888103,100,0.6725888324873096,0.5243382917801522,17.126667111902275,0.677933293627159,0.39136634942541937
EINV2,causal,C1,0.2,2027,evaluation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,C1_CausalEINV2_Velocity_seed2027,configs/einv2/C1.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_C1_CausalEINV2_Velocity_seed2027_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C1_CausalEINV2_Velocity_seed2026/out_train/ein_seld/C1_CausalEINV2_Velocity_seed2027/checkpoints/rabbit02_gpu0_c1_seed2027_epoch_48.pth,/work/zhanghc/Myllm/SELD/EINV2/C1_CausalEINV2_Velocity_seed2026/out_infer/ein_seld/Completion_20260904_C1_CausalEINV2_Velocity_seed2027_evaluation/submissions,/work/zhanghc/Myllm/SELD/EINV2/C1_CausalEINV2_Velocity_seed2026/out_eval/ein_seld/Completion_20260904_C1_CausalEINV2_Velocity_seed2027_evaluation/results.csv,419897715,200,0.6546050182413818,0.5619246432360289,15.579016214192949,0.7165727838719241,0.36566442030306967
EINV2,causal,C1,0.2,2027,validation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,C1_CausalEINV2_Velocity_seed2027,configs/einv2/C1.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_C1_CausalEINV2_Velocity_seed2027_validation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C1_CausalEINV2_Velocity_seed2026/out_train/ein_seld/C1_CausalEINV2_Velocity_seed2027/checkpoints/rabbit02_gpu0_c1_seed2027_epoch_48.pth,/work/zhanghc/Myllm/SELD/EINV2/C1_CausalEINV2_Velocity_seed2026/out_infer/ein_seld/Completion_20260904_C1_CausalEINV2_Velocity_seed2027_validation/submissions,/work/zhanghc/Myllm/SELD/EINV2/C1_CausalEINV2_Velocity_seed2026/out_eval/ein_seld/Completion_20260904_C1_CausalEINV2_Velocity_seed2027_validation/results.csv,419897715,100,0.6625858465213497,0.5310988009256012,16.234749810599244,0.684562760261749,0.38427933495933214
EINV2,causal,C1,0.2,2028,evaluation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,C1_CausalEINV2_Velocity_seed2028,configs/einv2/C1.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_C1_CausalEINV2_Velocity_seed2028_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C1_CausalEINV2_Velocity_seed2026/out_train/ein_seld/C1_CausalEINV2_Velocity_seed2028/checkpoints/rabbit02_gpu2_c1_seed2028_epoch_81.pth,/work/zhanghc/Myllm/SELD/EINV2/C1_CausalEINV2_Velocity_seed2026/out_infer/ein_seld/Completion_20260904_C1_CausalEINV2_Velocity_seed2028_evaluation/submissions,/work/zhanghc/Myllm/SELD/EINV2/C1_CausalEINV2_Velocity_seed2026/out_eval/ein_seld/Completion_20260904_C1_CausalEINV2_Velocity_seed2028_evaluation/results.csv,419897651,200,0.7143176234085326,0.5506137520375237,12.827262904762788,0.6864098567505381,0.3871391465783993
EINV2,causal,C1,0.2,2028,validation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,C1_CausalEINV2_Velocity_seed2028,configs/einv2/C1.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_C1_CausalEINV2_Velocity_seed2028_validation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C1_CausalEINV2_Velocity_seed2026/out_train/ein_seld/C1_CausalEINV2_Velocity_seed2028/checkpoints/rabbit02_gpu2_c1_seed2028_epoch_81.pth,/work/zhanghc/Myllm/SELD/EINV2/C1_CausalEINV2_Velocity_seed2026/out_infer/ein_seld/Completion_20260904_C1_CausalEINV2_Velocity_seed2028_validation/submissions,/work/zhanghc/Myllm/SELD/EINV2/C1_CausalEINV2_Velocity_seed2026/out_eval/ein_seld/Completion_20260904_C1_CausalEINV2_Velocity_seed2028_validation/results.csv,419897651,100,0.6567632128993729,0.5622157916494419,12.337319031897668,0.6741171211443898,0.3722427403484654
EINV2,causal,C2,0.2,2026,evaluation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,C2_CausalEINV2_JEPA_seed2026,configs/einv2/C2.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_C2_CausalEINV2_JEPA_seed2026_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C2_CausalEINV2_JEPA_seed2026/out_train/ein_seld/C2_CausalEINV2_JEPA_seed2026/checkpoints/rabbit02_gpu4_c2_epoch_59.pth,/work/zhanghc/Myllm/SELD/EINV2/C2_CausalEINV2_JEPA_seed2026/out_infer/ein_seld/Completion_20260904_C2_CausalEINV2_JEPA_seed2026_evaluation/submissions,/work/zhanghc/Myllm/SELD/EINV2/C2_CausalEINV2_JEPA_seed2026/out_eval/ein_seld/Completion_20260904_C2_CausalEINV2_JEPA_seed2026_evaluation/results.csv,528758688,200,0.6381505472414564,0.5623546562076984,15.396789593062463,0.7116809961458642,0.36241315371233795
EINV2,causal,C2,0.2,2026,validation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,C2_CausalEINV2_JEPA_seed2026,configs/einv2/C2.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_C2_CausalEINV2_JEPA_seed2026_validation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C2_CausalEINV2_JEPA_seed2026/out_train/ein_seld/C2_CausalEINV2_JEPA_seed2026/checkpoints/rabbit02_gpu4_c2_epoch_59.pth,/work/zhanghc/Myllm/SELD/EINV2/C2_CausalEINV2_JEPA_seed2026/out_infer/ein_seld/Completion_20260904_C2_CausalEINV2_JEPA_seed2026_validation/submissions,/work/zhanghc/Myllm/SELD/EINV2/C2_CausalEINV2_JEPA_seed2026/out_eval/ein_seld/Completion_20260904_C2_CausalEINV2_JEPA_seed2026_validation/results.csv,528758688,100,0.685727082711257,0.5165186007773459,16.634042342661523,0.6803156640857654,0.3953260410490663
EINV2,causal,C2,0.2,2027,evaluation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,C2_CausalEINV2_JEPA_seed2027,configs/einv2/C2.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_C2_CausalEINV2_JEPA_seed2027_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C2_CausalEINV2_JEPA_seed2026/out_train/ein_seld/C2_CausalEINV2_JEPA_seed2027/checkpoints/rabbit02_gpu1_c2_seed2027_epoch_75.pth,/work/zhanghc/Myllm/SELD/EINV2/C2_CausalEINV2_JEPA_seed2026/out_infer/ein_seld/Completion_20260904_C2_CausalEINV2_JEPA_seed2027_evaluation/submissions,/work/zhanghc/Myllm/SELD/EINV2/C2_CausalEINV2_JEPA_seed2026/out_eval/ein_seld/Completion_20260904_C2_CausalEINV2_JEPA_seed2027_evaluation/results.csv,528767778,200,0.6366614548432731,0.571959913214175,12.791185390342767,0.6877552535828321,0.3620021072759314
EINV2,causal,C2,0.2,2027,validation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,C2_CausalEINV2_JEPA_seed2027,configs/einv2/C2.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_C2_CausalEINV2_JEPA_seed2027_validation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C2_CausalEINV2_JEPA_seed2026/out_train/ein_seld/C2_CausalEINV2_JEPA_seed2027/checkpoints/rabbit02_gpu1_c2_seed2027_epoch_75.pth,/work/zhanghc/Myllm/SELD/EINV2/C2_CausalEINV2_JEPA_seed2026/out_infer/ein_seld/Completion_20260904_C2_CausalEINV2_JEPA_seed2027_validation/submissions,/work/zhanghc/Myllm/SELD/EINV2/C2_CausalEINV2_JEPA_seed2026/out_eval/ein_seld/Completion_20260904_C2_CausalEINV2_JEPA_seed2027_validation/results.csv,528767778,100,0.6439235592714243,0.5598447570864232,13.405939524929236,0.6847907046030091,0.36844138484678857
EINV2,causal,C2,0.2,2028,evaluation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,C2_CausalEINV2_JEPA_seed2028,configs/einv2/C2.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_C2_CausalEINV2_JEPA_seed2028_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C2_CausalEINV2_JEPA_seed2026/out_train/ein_seld/C2_CausalEINV2_JEPA_seed2028/checkpoints/rabbit02_gpu4_c2_seed2028_epoch_42.pth,/work/zhanghc/Myllm/SELD/EINV2/C2_CausalEINV2_JEPA_seed2026/out_infer/ein_seld/Completion_20260904_C2_CausalEINV2_JEPA_seed2028_evaluation/submissions,/work/zhanghc/Myllm/SELD/EINV2/C2_CausalEINV2_JEPA_seed2026/out_eval/ein_seld/Completion_20260904_C2_CausalEINV2_JEPA_seed2028_evaluation/results.csv,528767778,200,0.6409053681780954,0.5520628683693517,14.963441957988907,0.6881776325560671,0.37094877508815377
EINV2,causal,C2,0.2,2028,validation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,C2_CausalEINV2_JEPA_seed2028,configs/einv2/C2.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_C2_CausalEINV2_JEPA_seed2028_validation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C2_CausalEINV2_JEPA_seed2026/out_train/ein_seld/C2_CausalEINV2_JEPA_seed2028/checkpoints/rabbit02_gpu4_c2_seed2028_epoch_42.pth,/work/zhanghc/Myllm/SELD/EINV2/C2_CausalEINV2_JEPA_seed2026/out_infer/ein_seld/Completion_20260904_C2_CausalEINV2_JEPA_seed2028_validation/submissions,/work/zhanghc/Myllm/SELD/EINV2/C2_CausalEINV2_JEPA_seed2026/out_eval/ein_seld/Completion_20260904_C2_CausalEINV2_JEPA_seed2028_validation/results.csv,528767778,100,0.6473574201254105,0.5355874413979258,16.501824598325964,0.6744151393234987,0.38225791068200476
EINV2,causal,C3,0.2,2026,evaluation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,C3_CausalEINV2_Velocity_JEPA_seed2026,configs/einv2/C3.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2026_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_train/ein_seld/C3_CausalEINV2_Velocity_JEPA_seed2026/checkpoints/rabbit02_gpu4_c3_epoch_77.pth,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_infer/ein_seld/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2026_evaluation/submissions,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_eval/ein_seld/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2026_evaluation/results.csv,528827832,200,0.6326409053681781,0.5824458066504572,12.82912919763499,0.7027689109939871,0.3546747819276487
EINV2,causal,C3,0.2,2026,validation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,C3_CausalEINV2_Velocity_JEPA_seed2026,configs/einv2/C3.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2026_validation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_train/ein_seld/C3_CausalEINV2_Velocity_JEPA_seed2026/checkpoints/rabbit02_gpu4_c3_epoch_77.pth,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_infer/ein_seld/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2026_validation/submissions,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_eval/ein_seld/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2026_validation/results.csv,528827832,100,0.6425798745894297,0.5735062084105097,11.975626659004396,0.6970645209357771,0.3596351011149585
EINV2,causal,C3,0.2,2027,evaluation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,C3_CausalEINV2_Velocity_JEPA_seed2027,configs/einv2/C3.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2027_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_train/ein_seld/C3_CausalEINV2_Velocity_JEPA_seed2027/checkpoints/rabbit02_gpu3_c3_seed2027_epoch_80.pth,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_infer/ein_seld/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2027_evaluation/submissions,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_eval/ein_seld/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2027_evaluation/results.csv,528837138,200,0.6701660338023975,0.5747518299408403,13.049226934676337,0.715993465993466,0.3629791107651844
EINV2,causal,C3,0.2,2027,validation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,C3_CausalEINV2_Velocity_JEPA_seed2027,configs/einv2/C3.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2027_validation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_train/ein_seld/C3_CausalEINV2_Velocity_JEPA_seed2027/checkpoints/rabbit02_gpu3_c3_seed2027_epoch_80.pth,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_infer/ein_seld/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2027_validation/submissions,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_eval/ein_seld/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2027_validation/results.csv,528837138,100,0.6348163630934608,0.5773649810801513,12.740304259386535,0.701430274135876,0.3567001439962841
EINV2,causal,C3,0.2,2028,evaluation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,C3_CausalEINV2_Velocity_JEPA_seed2028,configs/einv2/C3.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2028_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_train/ein_seld/C3_CausalEINV2_Velocity_JEPA_seed2028/checkpoints/rabbit02_gpu3_c3_seed2028_epoch_60.pth,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_infer/ein_seld/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2028_evaluation/submissions,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_eval/ein_seld/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2028_evaluation/results.csv,528837074,200,0.6494676494676495,0.5660455201815306,13.318521909270887,0.6902359400504526,0.3667944944051261
EINV2,causal,C3,0.2,2028,validation,TAU2020 FOA,"2,3,4,5,6",1,SCORED_SAVED_PREDICTIONS,dcase2023_micro,C3_CausalEINV2_Velocity_JEPA_seed2028,configs/einv2/C3.yaml,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2028_validation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_train/ein_seld/C3_CausalEINV2_Velocity_JEPA_seed2028/checkpoints/rabbit02_gpu3_c3_seed2028_epoch_60.pth,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_infer/ein_seld/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2028_validation/submissions,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_eval/ein_seld/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2028_validation/results.csv,528837074,100,0.6379516273514482,0.5564668769716088,14.149223558298942,0.6806196931327275,0.36986796369830427
